provincia,numero_jobs
,1591
BG,782
BA,278
BL,54
-,8
BN,37
BO,1182
BI,77
BT,14
BR,71
BS,824
BZ,2
RE,134
RG,30
RA,193
RC,5
RM,3332
RN,129
RO,87
RI,38
GR,48
GE,258
GO,55
OR,8
PR,407
PV,148
PT,66
PU,102
PZ,57
PC,132
PA,110
PG,189
PD,982
PE,88
PI,216
PN,232
PO,115
EN,20
ME,53
MC,58
MB,544
MO,568
MN,234
MI,6145
MT,33
MS,23
UD,260
FR,63
VT,47
FC,106
FE,104
FG,42
FI,751
FM,31
NO,145
NA,688
NU,5
CH,64
CO,259
CN,206
CL,14
CB,32
CA,98
CE,110
CZ,36
CS,72
CR,179
CT,144
SS,20
SR,29
SP,39
SV,66
KR,16
SI,102
SO,56
SA,142
LE,101
LC,221
TV,816
LO,84
TR,67
TS,179
TP,23
LI,72
TN,221
TO,1647
LT,100
LU,148
TE,73
TA,75
VA,586
VB,21
VC,66
VE,468
AG,23
VI,582
IS,20
AL,79
AO,26
AN,167
AQ,6
AP,34
VR,745
AR,95
IM,30
AT,66
VV,17
AV,36
